datafile,activity
activities/2875620974.fit.gz,cycling
activities/2878165145.fit.gz,cycling
activities/2917827233.fit.gz,cycling
activities/2925939753.fit.gz,cycling
activities/2904156632.fit.gz,cycling
activities/2871866640.fit.gz,cycling
activities/2903861013.fit.gz,cycling
activities/2912139332.fit.gz,cycling
activities/2898932854.fit.gz,cycling
activities/2903714629.fit.gz,cycling
activities/2863488401.fit.gz,cycling
activities/2871922778.fit.gz,cycling
activities/2875543445.fit.gz,cycling
activities/2717598473.fit.gz,running
activities/2758776303.fit.gz,running
activities/2694503189.fit.gz,running
activities/2688898988.fit.gz,running
activities/2829934608.fit.gz,running
activities/2821406438.fit.gz,running
activities/2682705331.fit.gz,running
activities/2711550627.fit.gz,running
activities/2740274713.fit.gz,running
activities/2786247269.fit.gz,running
activities/2770194670.fit.gz,running
activities/2677658978.fit.gz,running
activities/2791022871.fit.gz,running
activities/2675855419.fit.gz,running
activities/2764416704.fit.gz,running
activities/2708973950.fit.gz,running
activities/2746000812.fit.gz,running
activities/2752548971.fit.gz,running
activities/2749724556.fit.gz,running
activities/2797454257.fit.gz,running
activities/2797307100.fit.gz,running
activities/2725350599.fit.gz,running
activities/2796644542.fit.gz,running
activities/2764107892.fit.gz,running
activities/2772917919.fit.gz,running
activities/2779207820.fit.gz,running
activities/2742761748.fit.gz,running
activities/2749660320.fit.gz,running
activities/2796808375.fit.gz,running
activities/2734269580.fit.gz,running
activities/2697739124.fit.gz,running
activities/2700298434.fit.gz,running
activities/2711850942.fit.gz,running
activities/2677658993.fit.gz,running
activities/2677659014.fit.gz,running
activities/2803436608.fit.gz,running
activities/2694503073.fit.gz,running
activities/2808772306.fit.gz,running
activities/2755618021.fit.gz,running
activities/2728413477.fit.gz,running
activities/2705646131.fit.gz,running
activities/2722642748.fit.gz,running
activities/2737403219.fit.gz,running
activities/2737527405.fit.gz,running
activities/2717660588.fit.gz,running
activities/2688518063.fit.gz,running
activities/2737470737.fit.gz,running
activities/2704852906.fit.gz,running
activities/2697793360.fit.gz,running
activities/2758868351.fit.gz,running
activities/2729896401.fit.gz,running
