tournament,venue_country,match_year,team_a,team_b,home_a,home_b
2023 World Cup,France,2023,France,New Zealand,1,0
2023 World Cup,France,2023,Italy,Namibia,0,0
2023 World Cup,France,2023,Ireland,Romania,0,0
2023 World Cup,France,2023,Australia,Georgia,0,0
2023 World Cup,France,2023,England,Argentina,0,0
2023 World Cup,France,2023,Japan,Chile,0,0
2023 World Cup,France,2023,South Africa,Scotland,0,0
2023 World Cup,France,2023,Wales,Fiji,0,0
2023 World Cup,France,2023,France,Uruguay,1,0
2023 World Cup,France,2023,New Zealand,Namibia,0,0
2023 World Cup,France,2023,Samoa,Chile,0,0
2023 World Cup,France,2023,Wales,Portugal,0,0
2023 World Cup,France,2023,Ireland,Tonga,0,0
2023 World Cup,France,2023,South Africa,Romania,0,0
2023 World Cup,France,2023,Australia,Fiji,0,0
2023 World Cup,France,2023,England,Japan,0,0
2023 World Cup,France,2023,Italy,Uruguay,0,0
2023 World Cup,France,2023,France,Namibia,1,0
2023 World Cup,France,2023,Argentina,Samoa,0,0
2023 World Cup,France,2023,Georgia,Portugal,0,0
2023 World Cup,France,2023,England,Chile,0,0
2023 World Cup,France,2023,South Africa,Ireland,0,0
2023 World Cup,France,2023,Scotland,Tonga,0,0
2023 World Cup,France,2023,Wales,Australia,0,0
2023 World Cup,France,2023,Uruguay,Namibia,0,0
2023 World Cup,France,2023,Japan,Samoa,0,0
2023 World Cup,France,2023,New Zealand,Italy,0,0
2023 World Cup,France,2023,Argentina,Chile,0,0
2023 World Cup,France,2023,Fiji,Georgia,0,0
2023 World Cup,France,2023,Scotland,Romania,0,0
2023 World Cup,France,2023,Australia,Portugal,0,0
2023 World Cup,France,2023,South Africa,Tonga,0,0
2023 World Cup,France,2023,New Zealand,Uruguay,0,0
2023 World Cup,France,2023,France,Italy,1,0
2023 World Cup,France,2023,Wales,Georgia,0,0
2023 World Cup,France,2023,England,Samoa,0,0
2023 World Cup,France,2023,Ireland,Scotland,0,0
2023 World Cup,France,2023,Japan,Argentina,0,0
2023 World Cup,France,2023,Tonga,Romania,0,0
2023 World Cup,France,2023,Fiji,Portugal,0,0
